feature,importance,kind
area,0.9333951447082731,impurity importance
arrondissement,0.05176893290263503,impurity importance
prime_arrondissement,0.006381517454560526,impurity importance
energy_score_ordinal,0.003975421123107556,impurity importance
has_passenger_lift,0.000504153061969029,impurity importance
area_per_bedroom,0.00047759066172694186,impurity importance
terrace_count,0.0004397321994008249,impurity importance
room_count,0.000421366639015049,impurity importance
build_year,0.00029315418803276433,impurity importance
property_age,0.0002729973261999051,impurity importance
rive_gauche,0.0002490146289230588,impurity importance
floor,0.00024728387136324794,impurity importance
area_per_room,0.00023001351903379164,impurity importance
bedroom_count,0.00022213949289353005,impurity importance
floor_ratio,0.00016355475057036484,impurity importance
toilet_count,0.00013989869183737657,impurity importance
outdoor_area,0.0001209476887968204,impurity importance
total_parking,0.00010875264853605056,impurity importance
floor_count,0.00010850936339898919,impurity importance
balcony_count,0.0001058217896167876,impurity importance
listing_dow,8.684569478683382e-05,impurity importance
subtype_APARTMENT.PENTHOUSE,7.490963370973701e-05,impurity importance
bathroom_count,7.033120136230731e-05,impurity importance
listing_month,6.818034996098734e-05,impurity importance
listing_quarter,2.088079169720508e-05,impurity importance
subtype_APARTMENT.FLAT,1.3586030699172855e-05,impurity importance
has_cellar,1.3369904251708132e-05,impurity importance
subtype_APARTMENT.STUDIO,1.0805554605850806e-05,impurity importance
subtype_APARTMENT.LOFT,7.042017921824188e-06,impurity importance
subtype_HOUSE.TOWNHOUSE,5.6648196516219185e-06,impurity importance
subtype_HOUSE.VILLA,2.4372914619390984e-06,impurity importance
type_HOUSE,0.0,impurity importance
